"","year","time","vr","receiver","Afreq","a","tag"
"854687","2021","21:43","VR2W180","302950","A180","1702","53786"
"854688","2021","21:44","VR2W180","302950","A180","1702","53786"
"854689","2021","22:19","VR2W180","301884","A180","1702","53786"
"854696","2021","0:21","VR2W180","301892","A180","1702","53786"
"854704","2021","1:06","VR2W180","301889","A180","1702","53786"
"854710","2021","3:57","VR2W180","301894","A180","1702","53786"
"854778","2021","10:28","VR2W180","301894","A180","1702","53786"
"855027","2021","0:08","VR2W180","301894","A180","1702","53786"
"855028","2021","0:12","VR2W180","301894","A180","1702","53786"
"855137","2021","14:19","VR2W180","302950","A180","1702","53786"
"855139","2021","14:20","VR2W180","302950","A180","1702","53786"
"855140","2021","14:22","VR2W180","302950","A180","1702","53786"
"855141","2021","14:26","VR2W180","302950","A180","1702","53786"
"855143","2021","14:31","VR2W180","302950","A180","1702","53786"
"855144","2021","14:33","VR2W180","302950","A180","1702","53786"
"855145","2021","14:35","VR2W180","302950","A180","1702","53786"
"855146","2021","14:42","VR2W180","302950","A180","1702","53786"
"855149","2021","14:51","VR2W180","302950","A180","1702","53786"
"855151","2021","14:52","VR2W180","302950","A180","1702","53786"
"855155","2021","14:53","VR2W180","302950","A180","1702","53786"
"855157","2021","14:55","VR2W180","302950","A180","1702","53786"
"855159","2021","14:57","VR2W180","302950","A180","1702","53786"
"855161","2021","14:59","VR2W180","302950","A180","1702","53786"
"855164","2021","15:02","VR2W180","302950","A180","1702","53786"
"855186","2021","17:18","VR2W180","302950","A180","1702","53786"
"855208","2021","19:55","VR2W180","301886","A180","1702","53786"
"855210","2021","19:57","VR2W180","301886","A180","1702","53786"
"855211","2021","20:00","VR2W180","301886","A180","1702","53786"
"856318","2021","13:06","VR2W180","301886","A180","1702","53786"
"856319","2021","13:08","VR2W180","301886","A180","1702","53786"
"856320","2021","13:09","VR2W180","301886","A180","1702","53786"
"856322","2021","13:11","VR2W180","301886","A180","1702","53786"
"856406","2021","22:01","VR2W180","301886","A180","1702","53786"
"856407","2021","22:04","VR2W180","301886","A180","1702","53786"
"856408","2021","22:06","VR2W180","301886","A180","1702","53786"
"856409","2021","22:09","VR2W180","301886","A180","1702","53786"
"856410","2021","22:15","VR2W180","301886","A180","1702","53786"
"856411","2021","22:20","VR2W180","301886","A180","1702","53786"
"856412","2021","22:23","VR2W180","301886","A180","1702","53786"
"856413","2021","22:25","VR2W180","301886","A180","1702","53786"
