name,type,latitude,longitude
Schiller,receiver,43.0989,-70.7833
Marina (ME),receiver,43.10175,-70.78143
Carloni's site,receiver,43.12777,-70.84776
Goat Island,receiver,43.12465,-70.85643
Oyster River Bunker,receiver,43.12879,-70.88127
Adam's Point,receiver,43.09341,-70.86326
Lamprey River,receiver,43.07128,-70.92422
Squamscott River,receiver,43.05304,-70.91198
Great Bay Center,receiver,43.07129,-70.86795
Southern Exit Piscataqua,receiver,43.05467,-70.7233
Fishing Island,receiver,43.07605,-70.70302
Cocheco/Salmon Falls,receiver,43.17496,-70.82393
Gerrish Island,receiver,43.07101,-70.69842
Goat Island (North),receiver,43.12595,-70.85725
Adam's Point (East),receiver,43.09177,-70.86021
Aquafort,receiver,43.067994,-70.708103
Oyster River Bunker,receiver,43.12886,-70.8817
Bellamy - 75 Spur Rd.,receiver,43.15198,-70.84763
USGS1,receiver,43.11686,-70.80399
USGS2,receiver,43.12171,-70.81603
USGS3,receiver,43.05531,-70.71699
USGS4,receiver,43.05527,-70.71384
Living Bridge 180,receiver,43.079031,-70.752689
Oyster River Fyke Net,fyke net,43.131219,-70.917683
Bellamy River Fyke Net,fyke net,43.17495,-70.870111
Squamscott River Fyke Net,fyke net,42.9823,-70.946856
Winnicut River Fyke Net,fyke net,43.037419,-70.847294
larval by gbc,water,43.069422,-70.864217
larval by carloni,water,43.128744,-70.851339
larval great bay,water,43.066639,-70.886603
larval exit great bay,water,43.118964,-70.861078
salmon falls water,water,43.177133,-70.826972
piscataqua water,water,43.166556,-70.828186
squamscott water,water,42.982683,-70.947161
cocheco water,water,43.177675,-70.824667
bellamy water,water,43.174964,-70.870092
oyster water,water,43.131219,-70.917697
winnicut water,water,43.037419,-70.847294
newcastle water,water,43.072022,-70.70425
southern exit water,water,43.054994,-70.722747
marina water,water,43.099875,-70.783108
