"","Fish.ID..","Location","Date","Collection.Method","Lat","Long","mass..g.","TL..mm.","type"
"1","2","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,40,172,"Tagged"
"2","3","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,36,165,"Tagged"
"3","4","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,30,166,"Tagged"
"4","5","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,39,175,"Tagged"
"5","6","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,29,152,"Tagged"
"6","7","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,40,182,"Tagged"
"7","8","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,20,159,"Tagged"
"8","9","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,39,177,"Tagged"
"9","10","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,25,165,"Tagged"
"10","11","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,30,146,"Tagged"
"11","12","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,31,167,"Tagged"
"12","13","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,39,186,"Tagged"
"13","14","Oyster","3/23/2021","Fyke Net",43.131219,-70.917683,31,161,"Tagged"
"14","15","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,42,191,"Tagged"
"15","16","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,41,211,"Tagged"
"16","17","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,29,189,"Tagged"
"17","18","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,13,151,"Tagged"
"18","19","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,33,183,"Tagged"
"19","20","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,30,159,"Tagged"
"20","21","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,31,176,"Tagged"
"21","22","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,40,183,"Tagged"
"22","23","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,36,186,"Tagged"
"23","24","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,30,165,"Tagged"
"24","25","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,31,166,"Tagged"
"25","26","Squamscott","3/23/2021","Fyke Net",42.9823,-70.946856,24,159,"Tagged"
"26","27","Bellamy","3/23/2021","Fyke Net",43.17495,-70.870111,20,160,"Tagged"
"27","28","Bellamy","3/23/2021","Fyke Net",43.17495,-70.870111,25,179,"Tagged"
"28","29","Bellamy","3/23/2021","Fyke Net",43.17495,-70.870111,20,170,"Tagged"
"29","30","Bellamy","3/23/2021","Fyke Net",43.17495,-70.870111,70,222,"Tagged"
"30","31","Bellamy","3/23/2021","Fyke Net",43.17495,-70.870111,55,180,"Tagged"
"31","32","Bellamy","3/24/2021","Fyke Net",43.17495,-70.870111,29,155,"Tagged"
"32","33","Bellamy","3/24/2021","Fyke Net",43.17495,-70.870111,20,146,"Tagged"
"33","34","Oyster","3/24/2021","Fyke Net",43.131219,-70.917683,60,209,"Tagged"
"34","36","Oyster","3/24/2021","Fyke Net",43.131219,-70.917683,30,169,"Tagged"
"35","37","Oyster","3/24/2021","Fyke Net",43.131219,-70.917683,50,176,"Tagged"
"36","38","Oyster","3/24/2021","Fyke Net",43.131219,-70.917683,80,218,"Tagged"
"37","39","Oyster","3/24/2021","Fyke Net",43.131219,-70.917683,40,182,"Tagged"
"38","40","Oyster","3/24/2021","Fyke Net",43.131219,-70.917683,40,164,"Tagged"
"39","41","Squamscott","3/24/2021","Fyke Net",42.9823,-70.946856,40,172,"Tagged"
"40","42","Squamscott","3/24/2021","Fyke Net",42.9823,-70.946856,36,176,"Tagged"
"41","43","Squamscott","3/24/2021","Fyke Net",42.9823,-70.946856,60,181,"Tagged"
"42","44","Squamscott","3/24/2021","Fyke Net",42.9823,-70.946856,25,159,"Tagged"
"43","45","Squamscott","3/24/2021","Fyke Net",42.9823,-70.946856,NA,232,"Tagged"
"44","46","Squamscott","3/24/2021","Fyke Net",42.9823,-70.946856,NA,183,"Tagged"
"45","MAF01","Squamscott River","2/19/21","creel survey",NA,NA,NA,173,"Otolith"
